name	provider	accession	tax_id	annotation	species	other_info
ASM318091v1	NCBI	GCA_003180915.1	333924	True	Human papillomavirus 80	H. Delius, Deutsches Krebsforschungzentrum, Abt. ATV - 0686, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
ASM317865v1	NCBI	GCA_003178655.1	1175850	True	Human papillomavirus 119	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM317885v1	NCBI	GCA_003178855.1	1513257	True	Human papillomavirus 148	Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC), Charite - Universitaetsmedizin Berlin
ASM318009v1	NCBI	GCA_003180095.1	337048	True	Human papillomavirus 42	na
ASM318089v1	NCBI	GCA_003180895.1	337039	True	Human papillomavirus 77	H. Delius, Deutsches Krebsforschungzentrum, Abt. ATV - 0686, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
ASM314750v1	NCBI	GCA_003147505.1	1851219	True	Human papillomavirus type 194	Department of Pediatrics, Albert Einstein College of Medicine
ASM317753v1	NCBI	GCA_003177535.1	333767	True	Human papillomavirus 84	Microbiology & Immunology, Albert Einstein College of Medicine
ASM317755v1	NCBI	GCA_003177555.1	333767	True	Human papillomavirus 86	Microbiology & Immunology, Albert Einstein College of Medicine
ASM317765v1	NCBI	GCA_003177655.1	333767	True	Human papillomavirus 87	Menzo S., Institute of Microbiology, University of Ancona, via Ranieri, Monte D'Ago, 60020, ITALY
ASM317775v1	NCBI	GCA_003177755.1	337039	True	Human papillomavirus 94	de Villiers E.M., Div. Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317805v1	NCBI	GCA_003178055.1	333924	True	Human papillomavirus 107	Department of Medical Microbiology, Clinical Microbiology, Institution of Laboratory Medicine
ASM317835v1	NCBI	GCA_003178355.1	334207	True	Human papillomavirus 115	Microbiologia, Instituto de Biologia Molecular y Celular de Rosario - CONICET
ASM317845v1	NCBI	GCA_003178455.1	337051	True	Human papillomavirus 105	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317749v1	NCBI	GCA_003177495.1	337042	True	Human papillomavirus 85	Department of Microbiology, National University of Singapore
ASM317759v1	NCBI	GCA_003177595.1	333767	True	Human papillomavirus 89	Microbiology & Immunology, Albert Einstein College of Medicine
ASM317779v1	NCBI	GCA_003177795.1	333767	True	Human papillomavirus 62	Microbiology & Immunology, Albert Einstein College of Medicine
ASM317789v1	NCBI	GCA_003177895.1	337041	True	Human papillomavirus 58	na
